DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2018,10.5356,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2019,12.4631,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2020,11.0110,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2021,10.2154,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2022,21.2110,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2023,24.4176,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,BG,2024,17.1954,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2013,17.8029,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2014,15.2285,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2015,15.9493,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2016,16.1879,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2017,15.2685,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2018,15.9675,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2019,16.2682,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2020,15.9069,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2021,15.6045,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2022,19.3386,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2023,31.6191,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,CZ,2024,30.1251,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2013,18.35,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2014,18.84,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2015,18.78,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2016,18.36,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2017,16.98,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2018,16.9010,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2019,17.5503,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2020,16.5765,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2021,17.9618,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2022,22.3901,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2023,34.1544,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DE,2024,33.2776,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2013,27.5854,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2014,25.2216,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2015,25.5584,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2016,23.1489,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2017,24.672,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2018,24.2095,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2019,23.7451,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2020,20.8287,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2021,24.8473,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2022,41.9111,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2023,45.9819,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,DK,2024,33.9807,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2013,14.57,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2014,13.64,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2015,12.67,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2016,9.62,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2017,11.6133,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2018,11.1426,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2019,12.7321,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2020,12.2553,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2021,12.0958,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2022,30.7210,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2023,30.5282,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EE,2024,19.1855,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2013,21.44,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2014,20.09,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2015,18.92,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2016,15.68,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2017,15.55,p,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2018,14.7900,e,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2019,15.4049,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2020,13.4132,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2021,12.4844,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2022,22.8074,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2023,32.9604,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EL,2024,20.0571,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2013,20.34,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2014,20.9,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2015,20.32,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2016,18.82,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2017,18.52,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2018,18.4751,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2019,20.4438,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2020,19.9309,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2021,19.2038,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2022,24.9262,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2023,29.9129,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,ES,2024,23.8299,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EU27_2020,2013,19.2124,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EU27_2020,2014,19.0471,,
ESTAT:TEN00118(1.0),21/05/25 23:00:00,A,4100,EUR,GJ_GCV,MSHH,EU27_2020,2015,18.6755,,
